n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,217
20|20|0.01,0,1,265
20|20|0.01,0,2,265
20|20|0.01,0,3,265
20|20|0.01,0,4,277
20|20|0.01,0,5,277
20|20|0.01,0,6,277
20|20|0.01,0,7,277
20|20|0.01,0,8,284
20|20|0.01,0,9,284
20|20|0.01,0,10,284
20|20|0.01,0,11,284
20|20|0.01,0,12,284
20|20|0.01,0,13,284
20|20|0.01,0,14,284
20|20|0.01,0,15,284
20|20|0.01,0,16,284
20|20|0.01,0,17,284
20|20|0.01,0,18,284
20|20|0.01,0,19,284
20|20|0.01,1,0,227
20|20|0.01,1,1,227
20|20|0.01,1,2,227
20|20|0.01,1,3,227
20|20|0.01,1,4,251
20|20|0.01,1,5,276
20|20|0.01,1,6,276
20|20|0.01,1,7,276
20|20|0.01,1,8,276
20|20|0.01,1,9,276
20|20|0.01,1,10,276
20|20|0.01,1,11,276
20|20|0.01,1,12,276
20|20|0.01,1,13,276
20|20|0.01,1,14,276
20|20|0.01,1,15,276
20|20|0.01,1,16,276
20|20|0.01,1,17,276
20|20|0.01,1,18,276
20|20|0.01,1,19,276
20|20|0.01,2,0,241
20|20|0.01,2,1,309
20|20|0.01,2,2,309
20|20|0.01,2,3,309
20|20|0.01,2,4,309
20|20|0.01,2,5,309
20|20|0.01,2,6,309
20|20|0.01,2,7,309
20|20|0.01,2,8,309
20|20|0.01,2,9,309
20|20|0.01,2,10,309
20|20|0.01,2,11,309
20|20|0.01,2,12,309
20|20|0.01,2,13,309
20|20|0.01,2,14,309
20|20|0.01,2,15,309
20|20|0.01,2,16,309
20|20|0.01,2,17,309
20|20|0.01,2,18,309
20|20|0.01,2,19,309
20|20|0.01,3,0,241
20|20|0.01,3,1,241
20|20|0.01,3,2,258
20|20|0.01,3,3,309
20|20|0.01,3,4,309
20|20|0.01,3,5,309
20|20|0.01,3,6,309
20|20|0.01,3,7,309
20|20|0.01,3,8,309
20|20|0.01,3,9,309
20|20|0.01,3,10,309
20|20|0.01,3,11,309
20|20|0.01,3,12,309
20|20|0.01,3,13,309
20|20|0.01,3,14,309
20|20|0.01,3,15,309
20|20|0.01,3,16,309
20|20|0.01,3,17,309
20|20|0.01,3,18,309
20|20|0.01,3,19,309
20|20|0.01,4,0,110
20|20|0.01,4,1,265
20|20|0.01,4,2,265
20|20|0.01,4,3,265
20|20|0.01,4,4,265
20|20|0.01,4,5,265
20|20|0.01,4,6,265
20|20|0.01,4,7,265
20|20|0.01,4,8,265
20|20|0.01,4,9,265
20|20|0.01,4,10,265
20|20|0.01,4,11,265
20|20|0.01,4,12,265
20|20|0.01,4,13,265
20|20|0.01,4,14,265
20|20|0.01,4,15,265
20|20|0.01,4,16,265
20|20|0.01,4,17,265
20|20|0.01,4,18,265
20|20|0.01,4,19,265
20|20|0.01,5,0,241
20|20|0.01,5,1,265
20|20|0.01,5,2,265
20|20|0.01,5,3,265
20|20|0.01,5,4,265
20|20|0.01,5,5,265
20|20|0.01,5,6,265
20|20|0.01,5,7,265
20|20|0.01,5,8,265
20|20|0.01,5,9,265
20|20|0.01,5,10,265
20|20|0.01,5,11,265
20|20|0.01,5,12,265
20|20|0.01,5,13,265
20|20|0.01,5,14,265
20|20|0.01,5,15,265
20|20|0.01,5,16,265
20|20|0.01,5,17,265
20|20|0.01,5,18,265
20|20|0.01,5,19,265
20|20|0.01,6,0,277
20|20|0.01,6,1,277
20|20|0.01,6,2,277
20|20|0.01,6,3,277
20|20|0.01,6,4,277
20|20|0.01,6,5,277
20|20|0.01,6,6,277
20|20|0.01,6,7,277
20|20|0.01,6,8,277
20|20|0.01,6,9,277
20|20|0.01,6,10,277
20|20|0.01,6,11,277
20|20|0.01,6,12,277
20|20|0.01,6,13,277
